unitid,year,twoyr,fouryr,public,privnp,privfp,openadmp,longitud,latitude,efteug,eftotlt,eftotlw,efwhitt,efdetot,efdesom,upgrntn,upgrntp,pttot,age25o,fips,rucc,ctunemrate,ctwhitepct,ctblackpct,cthisppct,ctasianpct,ctnatamerpct,ctpov100pct,ctmedianinc,cthspct,ctbapct,ctlt5pct,ct5to19pct,ct20to34pct,ct35to60pct,ctgt60pct,ctlandarea,ctpopdens,ctpop,cthhu,stfips,region,stname,statepop,stunemrate,stappropfte,stbapct,stnonwpct,pctbbold,pctbbnew,wmdown
102234,2012,0,1,0,1,0,0,-88.138199,30.694751,1324,1180,716,768,1180,25,468,37,83,98,1097,2,11.7,62.38,34.21,1.56,1.36,0.5,20.5,44.718,77.82,18.74,5.36,21.56,20.95,33.4,18.73,1229,336,417.324,181.445,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.96,89.94,7.85120858688224
102234,2013,0,1,0,1,0,0,-88.138199,30.694751,1225,1292,772,864,1292,30,400,33,87,92,1097,2,11.7,62.05,33.82,2.18,1.43,0.51,20.5,44.947,77.88,18.79,7.45,21.58,20.29,32.21,18.47,1229,337,419.65,183.959,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.88,88.66,8.39871942692337
102261,2013,0,1,0,1,0,0,-86.749045,33.378935,149,161,67,101,161,24,109,61,31,88,1117,1,4.8,82.76,10.62,5.22,1.36,0.04,9.8,75.899,86.27,35.74,6.68,21.71,17.72,32.53,21.35,785,260,212.309,86.871,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.96,89.61,7.41013761624547
102270,2012,0,1,0,1,0,0,-87.585242,33.199228,1042,1019,490,65,1019,239,838,78,76,75,1125,3,7.4,68.08,28.91,2.16,0.81,0.05,18,46.548,78.68,24.69,4.41,18.43,22.79,34.59,19.78,1322,150,201.187,88.034,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.68,90.35,8.27488841556199
102270,2013,0,1,0,1,0,0,-87.585242,33.199228,940,863,420,54,863,305,757,74,55,46,1125,3,7.8,67.47,28.81,2.83,0.85,0.05,18,46.61,78.71,24.72,6.21,18.54,21.84,33.86,19.55,1322,152,204.329,89.721,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.18,86.61,8.2918922628236
102298,2013,0,1,0,1,0,1,-86.113675,33.434258,542,932,492,48,932,150,832,97,83,159,1121,4,12.5,67.02,31.29,1.45,0.16,0.08,22.7,38.029,70.33,11.49,6.19,20.18,19.55,32.34,21.73,737,110,82.21,37.09,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.64,71.04,7.60123107302326
102313,2012,1,0,1,0,0,1,-86.343057,32.350109,1448,1445,763,523,1445,175,1120,65,646,665,1101,2,9.6,39.64,55.44,2.98,1.9,0.04,21.3,50.458,81.48,31.55,5.32,20.93,20.86,34.24,18.64,784,292,230.375,102.9,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.94,95.96,7.08878941296419
102313,2013,1,0,1,0,0,1,-86.343057,32.350109,1275,1351,678,549,1351,180,881,61,640,616,1101,2,7.3,38.72,54.85,4.27,2.1,0.06,21.3,50.642,81.62,31.83,7.59,21.08,20.06,32.9,18.37,784,289,231.072,104.395,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.91,94.44,7.20479756554578
102429,2012,1,0,1,0,0,1,-87.265034,33.835785,3223,3734,2399,2986,3734,723,2622,64,1780,1326,1127,1,12,94.08,4.75,1.09,0.04,0.04,23.2,41.274,67.46,9.71,4.52,19.64,19.61,33.58,22.65,791,84,65.75,30.845,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.66,72.91,8.79728771811354
102429,2013,1,0,1,0,0,1,-87.265034,33.835785,2970,3490,2225,2838,3490,613,2182,58,1682,1143,1127,1,13.1,93.85,4.71,1.34,0.04,0.05,23.2,41.593,67.52,9.79,6.09,19.8,19.28,32.72,22.11,791,83,65.082,30.766,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.22,66.31,8.70782936523205
102553,2012,0,1,1,0,0,1,-149.826135,61.189554,11718,16498,9559,9563,16498,3220,4218,24,8637,7052,2020,2,6.5,72.05,4.95,6.46,9.49,7.04,9.6,78.447,89.58,27.99,5.64,21.77,20.38,35.32,16.89,1705,175,302.265,115.714,2,4,Alaska,730.307,7.8,12443,20.39,25.87,99.85,83.28,7.05435908701044
102553,2013,0,1,1,0,0,1,-149.826135,61.189554,11469,16380,9618,9537,16380,3880,4082,25,8701,7185,2020,2,6.6,71.43,4.94,7.44,9.41,6.77,9.6,78.787,89.57,27.97,8.24,21.65,19.53,33.6,16.98,1705,177,306.148,116.714,2,4,Alaska,735.132,8.7,12932,14.98,26.21,99.8,83.2,7.96919901116193
102580,2013,0,1,0,1,0,1,-149.111341,61.59843,28,42,20,39,42,0,12,22,21,18,2170,2,10.2,92.55,0.36,2.61,0.46,4.02,10.9,65.097,87.93,17.67,7.85,24.14,19.9,30.43,17.68,24608,4,101.534,47.693,2,4,Alaska,735.132,8.7,12932,14.98,26.21,97.66,64.98,7.3104444195668
102614,2012,0,1,1,0,0,1,-147.82475,64.857053,5749,8046,4635,3933,8046,1316,1876,22,4319,3593,2090,3,7.1,85.9,3.17,3.97,1.57,5.39,9.4,68.928,92.12,27.98,5.61,21.47,21.49,35.14,16.3,7338,14,101.452,43.418,2,4,Alaska,730.307,7.8,12443,20.39,25.87,96.45,0,6.04670416888111
102614,2013,0,1,1,0,0,1,-147.824751,64.857053,5545,7989,4578,3679,7989,1386,1888,23,4335,3610,2090,3,10.3,85.79,2.99,4.76,1.44,5.01,9.4,69.174,92.13,28.11,9.05,21.45,20.18,33.03,16.3,7338,14,103.118,44.477,2,4,Alaska,735.132,8.7,12932,14.98,26.21,97.23,81.16,8.28141835637643
102669,2012,0,1,0,1,0,0,-149.804242,61.191235,385,439,284,235,439,87,134,28,162,214,2020,2,6.5,72.05,4.95,6.46,9.49,7.04,9.6,78.447,89.58,27.99,5.64,21.77,20.38,35.32,16.89,1705,175,302.265,115.714,2,4,Alaska,730.307,7.8,12443,20.39,25.87,99.85,83.28,7.05548474230369
102669,2013,0,1,0,1,0,0,-149.804242,61.191235,342,387,255,215,387,79,115,28,142,190,2020,2,6.6,71.43,4.94,7.44,9.41,6.77,9.6,78.787,89.57,27.97,8.24,21.65,19.53,33.6,16.98,1705,177,306.148,116.714,2,4,Alaska,735.132,8.7,12932,14.98,26.21,99.8,83.2,7.97098428794682
102845,2013,0,1,0,0,1,1,-149.840178,61.195786,2983,2191,1580,940,2191,1255,1125,66,0,1199,2020,2,6.6,71.43,4.94,7.44,9.41,6.77,9.6,78.787,89.57,27.97,8.24,21.65,19.53,33.6,16.98,1705,177,306.148,116.714,2,4,Alaska,735.132,8.7,12932,14.98,26.21,99.8,83.2,7.96712257221393
103644,2013,0,1,0,0,1,1,-112.113845,33.580985,2008,2761,2019,1074,2761,126,1304,83,1273,1850,4013,1,7.6,68.3,3.62,24.55,2.47,1.06,16.6,62.891,79.81,24.8,7.92,22.1,18.52,29.97,21.48,9200,436,4030.4,1753.622,4,4,Arizona,6626.624,8.9,4958,13.83,30.53,99.98,97.2,6.65920501374926
